Reporting country,Reference period,Item code,Item name,IORP type,Value (euro millions),Date of extraction (yyyymmdd)
MT,2023,R0020,Investment expenses,DB,0.0,20250716
MT,2023,R0020,Investment expenses,DC,0.0,20250716
MT,2023,R0030,Tax expenses,DB,0.0,20250716
MT,2023,R0030,Tax expenses,DC,0.0,20250716
MT,2023,R0040,Other expenses,DB,0.0,20250716
MT,2023,R0040,Other expenses,DC,0.5523,20250716
MT,2023,R0050,Total expenses,DB,0.0,20250716
MT,2023,R0050,Total expenses,DC,1.446529,20250716
MT,2024,R0010,Administrative expenses,DB,0.0,20250716
MT,2024,R0010,Administrative expenses,DC,1.083981,20250716
MT,2024,R0020,Investment expenses,DB,0.0,20250716
MT,2024,R0020,Investment expenses,DC,0.0,20250716
MT,2024,R0030,Tax expenses,DB,0.0,20250716
MT,2024,R0030,Tax expenses,DC,0.0,20250716
MT,2024,R0040,Other expenses,DB,0.0,20250716
MT,2024,R0040,Other expenses,DC,0.603813,20250716
MT,2024,R0050,Total expenses,DB,0.0,20250716
MT,2024,R0050,Total expenses,DC,1.687794,20250716
NL,2020,R0010,Administrative expenses,DB,838.759439,20250716
NL,2020,R0010,Administrative expenses,DC,54.335312,20250716
NL,2020,R0020,Investment expenses,DB,9254.239328,20250716
NL,2020,R0020,Investment expenses,DC,3.330426,20250716
NL,2020,R0040,Other expenses,DB,211.500797,20250716
NL,2020,R0040,Other expenses,DC,10.238566,20250716
NL,2020,R0050,Total expenses,DB,10304.499564,20250716
NL,2020,R0050,Total expenses,DC,67.904304,20250716
NL,2021,R0010,Administrative expenses,DB,871.878212,20250716
NL,2021,R0010,Administrative expenses,DC,57.265792,20250716
NL,2021,R0020,Investment expenses,DB,13412.328645,20250716
NL,2021,R0020,Investment expenses,DC,4.801936,20250716
NL,2021,R0040,Other expenses,DB,188.940688,20250716
NL,2021,R0040,Other expenses,DC,11.223181,20250716
NL,2021,R0050,Total expenses,DB,14473.147545,20250716
NL,2021,R0050,Total expenses,DC,73.290909,20250716
NL,2022,R0010,Administrative expenses,DB,937.894746,20250716
NL,2022,R0010,Administrative expenses,DC,58.001987,20250716
NL,2022,R0020,Investment expenses,DB,8553.741693,20250716
NL,2022,R0020,Investment expenses,DC,5.103641,20250716
NL,2022,R0040,Other expenses,DB,210.231851,20250716
NL,2022,R0040,Other expenses,DC,15.604156,20250716
NL,2022,R0050,Total expenses,DB,9701.86829,20250716
NL,2022,R0050,Total expenses,DC,78.709785,20250716
NL,2023,R0010,Administrative expenses,DB,1043.558411,20250716
NL,2023,R0010,Administrative expenses,DC,81.861943,20250716
